0.1,9.61,0.07,0.17
0.2,9.96,0.23,0.8
0.3,8.87,0.22,0.99
0.4,8.31,0.38,1.64
0.5,7.49,0.55,2.23
0.6,7.23,0.53,2.71
0.7,7.21,0.71,2.8
0.8,6.66,0.59,2.91
0.9,6.43,0.94,3.36
1.0,5.87,1.03,4.07
1.1,5.77,1.15,4.03
1.2,5.28,1.08,4.51
1.3,5.01,1.52,5.09
1.4,4.33,1.22,4.95
1.5,4.28,1.44,5.57
1.6,4.25,1.62,5.64
1.7,4.5,1.75,5.42
1.8,4.0,1.84,5.72
1.9,3.85,1.92,5.67
2.0,3.56,2.07,6.21
2.1,3.61,2.27,5.75
2.2,3.59,2.15,6.57
2.3,2.89,2.28,6.86
2.4,2.81,2.28,6.32
2.5,3.07,2.52,6.91
2.6,2.51,2.6,7.49
2.7,2.75,2.91,7.35
2.8,2.73,2.71,7.11
2.9,2.45,2.77,7.54
3.0,2.41,2.92,7.81
3.1,2.44,3.04,7.63
3.2,2.32,3.2,7.41
3.3,2.04,3.2,7.99
3.4,2.32,3.52,6.92
3.5,1.95,3.37,7.73
3.6,1.98,3.97,7.94
3.7,2.38,3.76,7.99
3.8,1.94,3.56,7.85
3.9,1.71,3.87,8.33
4.0,1.87,3.93,8.37
4.1,1.86,4.39,7.78
4.2,1.85,4.12,7.81
4.3,1.66,4.15,8.42
4.4,1.62,4.8,8.72
4.5,1.59,4.68,8.3
4.6,1.61,4.85,8.68
4.7,1.5,4.75,8.31
4.8,1.67,4.41,8.59
4.9,1.18,4.92,8.68
5.0,1.37,4.66,8.53
5.1,1.27,4.99,8.95
5.2,1.24,5.3,8.47
5.3,1.05,5.42,8.54
5.4,1.15,5.45,8.79
5.5,1.26,5.38,8.12
5.6,1.0,5.63,8.68
5.7,1.12,6.04,9.01
5.8,1.04,5.8,8.84
5.9,1.43,5.57,8.89
6.0,0.89,5.61,8.97
6.1,1.12,6.01,8.8
6.2,1.04,6.05,9.01
6.3,0.84,6.53,9.21
6.4,0.93,6.18,9.25
6.5,1.19,6.49,9.2
6.6,0.92,6.59,8.93
6.7,0.95,6.97,9.02
6.8,0.87,6.17,9.22
6.9,0.8,6.58,9.11
7.0,0.81,7.16,9.58
7.1,0.71,6.83,8.8
7.2,0.88,6.83,9.33
7.3,0.87,6.81,9.42
7.4,0.75,6.76,9.48
7.5,0.71,7.22,8.93
7.6,0.63,7.61,9.26
7.7,0.65,7.52,8.59
7.8,0.74,7.75,8.97
7.9,0.66,7.83,9.35
8.0,0.59,8.27,9.09
8.1,0.76,7.91,9.15
8.2,0.71,8.56,8.93
8.3,0.65,7.99,9.39
8.4,0.69,8.34,9.1
8.5,0.71,8.56,9.13
8.6,0.49,8.67,9.78
8.7,0.6,8.31,9.83
8.8,0.47,8.59,9.48
8.9,0.66,8.94,9.72
9.0,0.57,8.82,9.49
9.1,0.44,9.37,9.46
9.2,0.52,8.82,9.86
9.3,0.45,9.06,9.58
9.4,0.43,9.39,9.54
9.5,0.52,9.69,9.51
9.6,0.45,9.69,9.39
9.7,0.51,9.99,9.85
9.8,0.46,9.61,9.5
9.9,0.44,9.15,9.65
10.0,0.49,10.07,9.02
