0.1,10.028,0.099,0.143
0.2,9.659,0.186,0.313
0.3,9.514,0.289,0.497
0.4,9.271,0.364,0.707
0.5,9.112,0.506,0.947
0.6,8.791,0.585,1.212
0.7,8.795,0.682,1.334
0.8,8.519,0.793,1.472
0.9,8.283,0.929,1.742
1.0,7.985,0.983,1.979
1.1,7.78,1.112,2.191
1.2,7.654,1.216,2.407
1.3,7.308,1.305,2.573
1.4,7.179,1.39,2.807
1.5,7.077,1.597,2.98
1.6,6.814,1.651,3.197
1.7,6.613,1.704,3.404
1.8,6.495,1.805,3.547
1.9,6.272,1.834,3.594
2.0,6.468,2.019,3.735
2.1,6.103,2.105,3.902
2.2,5.795,2.184,4.065
2.3,5.907,2.253,4.114
2.4,5.629,2.481,4.436
2.5,5.414,2.487,4.45
2.6,5.361,2.619,4.685
2.7,5.23,2.742,4.724
2.8,5.134,2.779,4.825
2.9,5.045,2.948,5.028
3.0,4.999,2.979,5.096
3.1,4.916,3.064,5.177
3.2,4.756,3.275,5.166
3.3,4.428,3.323,5.482
3.4,4.462,3.466,5.583
3.5,4.335,3.559,5.617
3.6,4.471,3.564,5.606
3.7,4.129,3.738,5.832
3.8,4.211,3.645,5.794
3.9,4.016,3.917,5.992
4.0,4.118,3.909,5.996
4.1,3.951,4.143,6.126
4.2,3.91,4.16,6.013
4.3,3.838,4.279,6.156
4.4,3.64,4.347,6.297
4.5,3.665,4.513,6.057
4.6,3.543,4.609,6.38
4.7,3.476,4.651,6.375
4.8,3.521,4.826,6.555
4.9,3.421,4.805,6.559
5.0,3.342,4.988,6.802
5.1,3.294,5.055,6.651
5.2,3.26,5.181,6.868
5.3,3.151,5.288,6.825
5.4,3.266,5.325,6.749
5.5,3.087,5.503,6.848
5.6,3.006,5.646,6.925
5.7,2.862,5.672,7.04
5.8,3.04,5.829,7.003
5.9,2.922,5.889,6.954
6.0,2.941,6.051,7.131
6.1,2.82,6.128,7.171
6.2,2.795,6.36,7.264
6.3,2.791,6.251,7.37
6.4,2.755,6.448,7.352
6.5,2.674,6.488,7.361
6.6,2.652,6.623,7.288
6.7,2.6,6.65,7.462
6.8,2.668,6.851,7.437
6.9,2.561,6.85,7.365
7.0,2.564,7.016,7.46
7.1,2.466,7.22,7.423
7.2,2.508,7.151,7.407
7.3,2.473,7.295,7.568
7.4,2.38,7.379,7.572
7.5,2.368,7.494,7.62
7.6,2.296,7.536,7.698
7.7,2.262,7.705,7.641
7.8,2.251,7.77,7.642
7.9,2.226,8.122,7.728
8.0,2.326,7.906,7.789
8.1,2.212,8.139,7.779
8.2,2.143,8.142,7.817
8.3,2.092,8.184,7.846
8.4,2.185,8.355,7.847
8.5,2.128,8.548,7.742
8.6,2.118,8.557,8.001
8.7,2.122,8.71,7.83
8.8,1.974,8.713,7.904
8.9,2.064,8.959,7.776
9.0,2.001,8.983,8.146
9.1,2.057,8.899,7.997
9.2,2.037,9.17,7.972
9.3,1.981,9.308,7.997
9.4,1.944,9.446,8.137
9.5,1.882,9.732,8.101
9.6,1.946,9.533,8.214
9.7,1.895,9.653,8.184
9.8,1.916,9.759,8.127
9.9,1.91,9.807,8.192
10.0,1.823,9.831,8.185
